	taxon	sample_id	tolerance	reaction	flux	abundance	metabolite	direction
743	Flavobacterium	oilspill	1e-06	EX_ala__D_e	-100.0	0.1	ala__D_e	import
748	Flavobacterium	oilspill	1e-06	EX_ade_e	100.0108488312846	0.1	ade_e	export
750	Flavobacterium	oilspill	1e-06	EX_ac_e	-2.5369552631891565	0.1	ac_e	import
753	Flavobacterium	oilspill	1e-06	EX_idon__L_e	-0.02119318271013526	0.1	idon__L_e	import
754	Flavobacterium	oilspill	1e-06	EX_fald_e	100.15045416829221	0.1	fald_e	export
755	Flavobacterium	oilspill	1e-06	EX_h2s_e	0.5046392832833817	0.1	h2s_e	export
756	Flavobacterium	oilspill	1e-06	EX_4abut_e	6.743837791457348	0.1	4abut_e	export
765	Flavobacterium	oilspill	1e-06	EX_acald_e	-71.4516509843088	0.1	acald_e	import
767	Flavobacterium	oilspill	1e-06	EX_uri_e	100.0	0.1	uri_e	export
770	Flavobacterium	oilspill	1e-06	EX_ins_e	97.73225748170057	0.1	ins_e	export
774	Flavobacterium	oilspill	1e-06	EX_etoh_e	71.4516509843088	0.1	etoh_e	export
776	Flavobacterium	oilspill	1e-06	EX_pacald_e	94.64630714323096	0.1	pacald_e	export
777	Flavobacterium	oilspill	1e-06	EX_2dhglcn_e	199.47740518086889	0.1	2dhglcn_e	export
782	Flavobacterium	oilspill	1e-06	EX_orn_e	0.1056704515731326	0.1	orn_e	export
787	Flavobacterium	oilspill	1e-06	EX_leu__L_e	-0.0910614843331814	0.1	leu__L_e	import
789	Flavobacterium	oilspill	1e-06	EX_ura_e	-100.0	0.1	ura_e	import
791	Flavobacterium	oilspill	1e-06	EX_cobalt2_e	-2.0212035241819085e-05	0.1	cobalt2_e	import
798	Marinobacter	oilspill	1e-06	EX_ile__L_e	-0.026592840778903337	0.1	ile__L_e	import
800	Marinobacter	oilspill	1e-06	EX_but_e	32.785581326870215	0.1	but_e	export
801	Marinobacter	oilspill	1e-06	EX_ala__L_e	-100.0	0.1	ala__L_e	import
803	Marinobacter	oilspill	1e-06	EX_id3acald_e	-0.005202980936132917	0.1	id3acald_e	import
804	Marinobacter	oilspill	1e-06	EX_h_e	183.22363998298533	0.1	h_e	export
810	Marinobacter	oilspill	1e-06	EX_ser__L_e	67.1375503516739	0.1	ser__L_e	export
814	Marinobacter	oilspill	1e-06	EX_mg2_e	-0.0007940442907832454	0.1	mg2_e	import
821	Marinobacter	oilspill	1e-06	EX_mn2_e	-6.324894580700402e-05	0.1	mn2_e	import
828	Marinobacter	oilspill	1e-06	EX_lys__L_e	-0.03141037842874539	0.1	lys__L_e	import
834	Marinobacter	oilspill	1e-06	EX_fe3_e	-0.011662184483842182	0.1	fe3_e	import
836	Marinobacter	oilspill	1e-06	EX_for_e	0.00018370569358554535	0.1	for_e	export
839	Marinobacter	oilspill	1e-06	EX_val__L_e	-0.024665807412588947	0.1	val__L_e	import
841	Marinobacter	oilspill	1e-06	EX_bz_e	-9.153248356597032e-06	0.1	bz_e	import
845	Marinobacter	oilspill	1e-06	EX_succ_e	-6.422750018315725	0.1	succ_e	import
848	Marinobacter	oilspill	1e-06	EX_cl_e	-0.00047642657443702774	0.1	cl_e	import
850	Marinobacter	oilspill	1e-06	EX_citr__L_e	0.16874754734624275	0.1	citr__L_e	export
854	Marinobacter	oilspill	1e-06	EX_akg_e	-41.51514748645957	0.1	akg_e	import
856	Marinobacter	oilspill	1e-06	EX_meoh_e	100.02813452239161	0.1	meoh_e	export
860	Marinobacter	oilspill	1e-06	EX_btoh_e	-32.7855813268701	0.1	btoh_e	import
863	Marinobacter	oilspill	1e-06	EX_fum_e	201.29698599109193	0.1	fum_e	export
